Pathways	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
LACTOSECAT-PWY: lactose and galactose degradation I	3.441903925	0.000714457	0.00287547	3.35794836	0.000966527	0.011669914	-0.753465813	0.453497951	0.539563256	4.489800689	1.86E-05	0.000263812	3.194607819	0.001909753	0.049796359	-1.224486308	0.229707146	0.346253356	0.823719938	0.41363465	0.528803513	1.104348819	0.274789899	0.573985559	-0.188426871	0.851428508	0.915288753
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	5.299488374	3.22E-07	3.49E-06	4.326604913	2.63E-05	0.000949175	-0.853511119	0.396058047	0.494693193	4.637752126	1.17E-05	0.000238532	3.118932643	0.002679913	0.049796359	-1.016898117	0.316829144	0.428573863	3.026374735	0.003774863	0.023665488	2.814316672	0.006615367	0.074365845	-0.311950824	0.756585543	0.862401703
METHGLYUT-PWY: superpathway of methylglyoxal degradation	-0.945890255	0.346054962	0.474008058	2.360863927	0.020003042	0.078566166	2.419302016	0.017941629	0.049567551	0.067521044	0.9463306	0.958917853	2.157871361	0.034215202	0.121436202	1.700147925	0.098804484	0.222139736	-1.092346977	0.278476012	0.416436604	1.147418594	0.25977184	0.565250674	1.743617175	0.088372341	0.2396497
METSYN-PWY: L-homoserine and L-methionine biosynthesis	5.625474617	6.59E-08	9.33E-07	4.302798537	2.91E-05	0.000949175	-1.227742206	0.223332818	0.319326749	4.744052602	7.84E-06	0.00019657	3.233080995	0.001893579	0.049796359	-1.111708373	0.274546434	0.388107102	3.362375221	0.001413485	0.011993518	2.836356162	0.006170297	0.074365845	-0.705798803	0.484119742	0.668741678
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	-1.126014784	0.26225397	0.39531272	0.759966194	0.448356493	0.576939354	1.314462851	0.192643649	0.285103611	-0.685205867	0.495466313	0.73086886	0.530777078	0.597647674	0.726989334	0.739044118	0.465267021	0.576718816	-1.280449856	0.204617922	0.340333891	-0.14441479	0.885643977	0.925384411	1.168984289	0.248849699	0.438513524
NAGLIPASYN-PWY: lipid IVA biosynthesis	-1.504609332	0.134294077	0.232871644	1.726724627	0.086158907	0.181211638	2.98058469	0.003862637	0.021233713	-1.119443655	0.266652722	0.4776307	1.570304108	0.119550279	0.238848078	2.485458538	0.018353606	0.127724751	-2.034646283	0.045834012	0.128809379	0.060751527	0.951725788	0.975668575	1.753656809	0.08661528	0.2396497
NONMEVIPP-PWY: methylerythritol phosphate pathway I	4.212258559	4.34E-05	0.000248106	2.450242385	0.015386366	0.065142275	-2.446288779	0.016745333	0.047469379	3.559435517	0.000564904	0.003986351	1.994266885	0.048897744	0.14360959	-1.960033668	0.058748739	0.171163922	2.575942373	0.012629161	0.05160838	1.278800256	0.205649232	0.518396698	-1.583332073	0.12067397	0.262264761
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	4.747415785	4.36E-06	3.55E-05	2.21506441	0.028417528	0.092592387	-2.935729507	0.004400125	0.022356098	4.48547494	2.32E-05	0.000302666	1.136283556	0.260823285	0.402978157	-2.188479235	0.03604816	0.141559129	3.346582025	0.001250085	0.011320213	2.268418878	0.026303578	0.158795673	-2.00073324	0.051759901	0.193950893
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	3.472373609	0.000646368	0.002633951	2.260916394	0.025007771	0.090583706	-1.774528425	0.079980421	0.144853428	2.936425865	0.00408299	0.018486873	0.426555705	0.670944084	0.784225241	-2.290824186	0.028706632	0.141559129	1.344378835	0.184420551	0.317148353	1.653358946	0.104232637	0.357682524	-0.246434795	0.806518338	0.889639137
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	-0.700586632	0.484709972	0.580939157	2.654617834	0.008918491	0.046894003	2.734524378	0.007769537	0.029113438	-0.110228831	0.912565655	0.946975712	3.080351078	0.002902242	0.049796359	2.031225313	0.050607723	0.1601759	-0.726673475	0.469500568	0.573247885	1.023731346	0.312802573	0.594205432	1.823794157	0.075138295	0.233045794
P108-PWY: pyruvate fermentation to propanoate I	-2.189110275	0.03037674	0.069614936	1.53528081	0.126679181	0.237341454	3.327183437	0.00135391	0.017991607	-2.125701823	0.038779956	0.112100384	0.23569783	0.814529307	0.887507554	2.555289919	0.015565038	0.125575516	-0.544941421	0.587293152	0.671780939	2.35982007	0.02156624	0.148020466	2.272179481	0.028134472	0.173053545
P122-PWY: heterolactic fermentation	-1.439849896	0.151985353	0.255398068	0.184240854	0.854048741	0.915854899	1.888993305	0.062707681	0.120251199	-0.688920404	0.493893281	0.73086886	0.985980609	0.326846132	0.469391361	1.480956051	0.14839838	0.271785798	-2.367643185	0.020679876	0.07569103	-1.486294254	0.142258779	0.42160329	1.181885236	0.243746187	0.433008504
P124-PWY: Bifidobacterium shunt	2.147077209	0.034077035	0.07714662	1.408955567	0.161201296	0.276587486	-1.429832085	0.156863371	0.244077249	1.600488772	0.113832455	0.25407043	1.19158611	0.236632325	0.373686221	-1.197907998	0.239750524	0.350487314	1.655526685	0.108178784	0.21904524	1.086853844	0.284033229	0.578717704	-1.009712241	0.318281421	0.503688074
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	-1.092310941	0.276694946	0.408156346	-1.431370049	0.154694897	0.271131916	0.271588387	0.786674908	0.816738918	0.171869565	0.864001737	0.923490381	-0.419493848	0.676623815	0.787238191	-0.316009411	0.754047403	0.808616623	-1.863954731	0.067540467	0.169370709	-2.547249156	0.014056279	0.117496078	0.487848761	0.628135293	0.793690332
P161-PWY: acetylene degradation	-3.033691318	0.002913366	0.009791313	-2.149323979	0.033656467	0.09974553	0.943422981	0.348454086	0.447228473	-1.541279458	0.128861269	0.280058492	-0.231080987	0.817768642	0.887507554	1.749637563	0.089766645	0.210531843	-3.16343491	0.002429771	0.018002391	-2.752933349	0.008231346	0.081396372	0.249244058	0.80435876	0.889639137
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	-2.557312609	0.011333322	0.032127504	-0.222734038	0.824004363	0.895418074	2.997679511	0.003674309	0.02116449	-2.803772345	0.006404532	0.02676766	-1.09215344	0.278558618	0.420551257	1.557424852	0.129205821	0.249630821	-0.634015718	0.529186573	0.622797194	0.693510631	0.491972847	0.706476913	2.61660623	0.012205644	0.16183101
P164-PWY: purine nucleobases degradation I (anaerobic)	0.356364896	0.721974459	0.792470281	1.987121627	0.048518048	0.124542391	2.53403801	0.013333607	0.041242931	-1.158386858	0.250927083	0.454456827	2.301592722	0.023906661	0.117740913	3.052935316	0.004535855	0.125575516	1.200108497	0.235031376	0.373757213	0.752479193	0.454541751	0.688213515	0.444670847	0.658787872	0.812253876
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	-1.319493613	0.188715887	0.303060981	0.101943745	0.918921626	0.951010953	1.807856526	0.074585292	0.138603306	-0.871168382	0.386787565	0.623888946	-0.190777895	0.849172202	0.907639796	0.872654301	0.389352776	0.503686528	-2.29273502	0.024557941	0.084272515	-0.878696526	0.382653969	0.632243083	1.626489679	0.11115283	0.255241686
P23-PWY: reductive TCA cycle I	0.074017811	0.941074847	0.946883951	1.334749338	0.183724186	0.302495377	1.551639647	0.124903019	0.201943233	0.02013972	0.983985731	0.987013379	1.904222875	0.059755497	0.153571886	2.192589659	0.035723653	0.141559129	-0.298982449	0.765946808	0.818684129	0.172492146	0.863560465	0.914028285	0.571956614	0.57032953	0.752742619
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	5.367366132	2.79E-07	3.14E-06	5.785120155	3.61E-08	3.92E-06	0.652663481	0.515942628	0.588102436	3.301807819	0.001325269	0.007448923	3.460229072	0.00081451	0.044255061	0.415389348	0.680629139	0.74458087	2.967258423	0.00535901	0.027730752	3.42241592	0.001497332	0.04169744	0.522019405	0.604335726	0.781982255
P42-PWY: incomplete reductive TCA cycle	-1.906423988	0.058381787	0.122786049	0.156286477	0.876045329	0.927242783	2.79664419	0.006536902	0.027415035	-2.528056617	0.013957379	0.050001159	-0.524786748	0.601800229	0.729319237	1.869356707	0.070748356	0.184511713	-0.35213986	0.725638429	0.791164307	0.736737356	0.463733112	0.688213515	2.071566909	0.044339095	0.178476693
P441-PWY: superpathway of N-acetylneuraminate degradation	-2.389552493	0.017959908	0.045974683	0.787084077	0.432323612	0.566014047	3.573395867	0.000616045	0.011157253	-1.7326918	0.087110232	0.207284202	0.112003955	0.911087588	0.948928287	2.344984511	0.025393433	0.14030948	-2.19024638	0.031403046	0.102373929	0.493025596	0.623500117	0.778931636	2.708646432	0.009658825	0.16183101
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	-1.118583467	0.264739309	0.39531272	-1.688987551	0.093836223	0.191191304	-1.007751111	0.316771738	0.413070346	-0.561556165	0.575683719	0.786197685	-1.453199833	0.153265409	0.277351403	-1.176256513	0.24816896	0.357978234	-1.40378266	0.164473417	0.299543764	-1.254264588	0.214220287	0.518396698	-0.302691102	0.763584756	0.867347145
PANTO-PWY: phosphopantothenate biosynthesis I	-1.811824571	0.071730654	0.141722382	-2.557167826	0.011919968	0.054436821	-0.830701656	0.408744282	0.502832588	-0.832946198	0.407307128	0.647717676	-1.478602686	0.143312346	0.268504741	-0.390186699	0.698983761	0.757038891	-1.727999461	0.087882382	0.195700316	-2.280935156	0.026061574	0.158795673	-0.73712824	0.465047644	0.647886889
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	1.688509083	0.092962775	0.172192413	-0.410013197	0.682465962	0.774791439	-1.656410123	0.101762072	0.171888267	0.638018553	0.525133712	0.747570263	-1.096764501	0.276464746	0.420551257	-1.515978644	0.13934188	0.265041666	2.058211492	0.043176481	0.125674399	0.35530277	0.723538864	0.851529494	-1.03885018	0.304680901	0.494810267
PENTOSE-P-PWY: pentose phosphate pathway	3.757055772	0.000237813	0.00111268	4.804702859	3.75E-06	0.000174854	1.312576516	0.193275761	0.285103611	2.288802869	0.024416757	0.081223088	3.06760593	0.002868709	0.049796359	0.980559718	0.334165635	0.447063812	2.147862792	0.03867641	0.11674546	2.776462347	0.00927648	0.084003684	0.889215259	0.37883516	0.577104029
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	3.152782551	0.001898926	0.006726125	1.007953095	0.314890773	0.434976238	-2.735072455	0.00775779	0.029113438	3.132087788	0.002249769	0.011641664	1.442154455	0.152422352	0.277351403	-1.616055269	0.115900113	0.236146481	1.625111439	0.10908625	0.219519243	0.070141226	0.944295381	0.971105029	-2.188735526	0.034094302	0.173657568
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	-3.318400031	0.001104915	0.004288124	-1.119216325	0.264815994	0.394200977	2.345574829	0.021608024	0.055906475	-2.016198384	0.048085078	0.128489635	-0.804787989	0.424577862	0.567263865	1.343096732	0.18868958	0.310670722	-2.813182353	0.006261809	0.030467907	-1.105806508	0.272805075	0.573985559	1.93692282	0.059342829	0.214416241
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0.449191942	0.65381211	0.742657658	1.176807257	0.240882737	0.366952207	-0.224611851	0.822884035	0.851619668	-0.644480279	0.522180597	0.746626643	0.013609956	0.989194086	0.989194086	-0.035690496	0.971750862	0.974456489	1.201690092	0.237047194	0.375132937	1.413458791	0.166627832	0.46400674	-0.287128776	0.775392866	0.877701647
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	5.583341558	8.64E-08	1.13E-06	4.185698504	4.55E-05	0.001270963	-0.980324617	0.330036339	0.428652775	3.240578515	0.001679044	0.009122808	2.254956553	0.027334928	0.117740913	-0.62270947	0.537888181	0.644674805	4.163108638	0.000158299	0.001843053	3.452247545	0.001084614	0.037348665	-0.749090745	0.45788097	0.643401708
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	-1.108328666	0.269822868	0.399828432	1.790736053	0.07567063	0.16552278	3.096020077	0.002746402	0.019415138	-0.506853262	0.613537815	0.80005331	1.451674538	0.149902955	0.276092449	1.904730588	0.06583701	0.176453233	-1.075379436	0.285873184	0.421695286	0.907262954	0.370403965	0.630491892	2.493237204	0.016586104	0.16183101
PPGPPMET-PWY: ppGpp biosynthesis	0.108514671	0.913703853	0.927936	-1.264950807	0.208306954	0.332882682	-1.109820349	0.270575723	0.364006408	0.629587987	0.530524551	0.751960886	-1.038948371	0.304532022	0.443202853	-1.291132949	0.205907227	0.324279015	-0.747612139	0.457466729	0.562770392	-1.049582353	0.297594719	0.593703188	-0.260404473	0.795794774	0.889639137
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	4.241024689	3.49E-05	0.000215623	5.824982058	3.14E-08	3.92E-06	2.73926083	0.007668554	0.029113438	2.63348137	0.010082724	0.037781241	2.879484795	0.005639065	0.067816988	1.507611731	0.141463957	0.265041666	2.395071303	0.019864232	0.07358795	4.074972889	0.000140749	0.029752612	2.280732055	0.027579454	0.173053545
PWY-1042: glycolysis IV (plant cytosol)	3.698991701	0.000289736	0.001330336	0.089966863	0.928458152	0.956546331	-2.842452104	0.005745798	0.026759004	3.342018846	0.001288556	0.007427132	0.045664962	0.963738675	0.982983778	-2.77424056	0.009157643	0.125575516	2.831092717	0.005886686	0.02984688	0.563815076	0.574721047	0.75244603	-1.770093311	0.083801767	0.239643649
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	-4.724741468	5.17E-06	4.01E-05	-1.913916713	0.057907653	0.137775354	2.87062252	0.005304041	0.025059672	-2.849688093	0.005797514	0.02495535	-1.309622099	0.19606457	0.332901301	1.362160864	0.182659183	0.303488121	-4.625136145	1.56E-05	0.000283345	-2.090221899	0.040836463	0.189534355	2.580759166	0.013354405	0.16183101
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0.601651723	0.548140285	0.642783212	1.945859887	0.053283696	0.130605149	1.199652893	0.234000753	0.326001048	2.711933081	0.007867755	0.03064606	1.687162488	0.095180015	0.20548798	-1.109274275	0.275579009	0.388107102	-1.520241833	0.132774779	0.253126188	0.409224621	0.683599762	0.828451756	1.741953697	0.088666324	0.2396497
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	0.555286531	0.579394897	0.674581201	0.398717277	0.690705346	0.774791439	-0.076490653	0.939229756	0.953859503	0.405651237	0.686371277	0.831810544	0.831669932	0.409212544	0.551253261	0.428525329	0.671139553	0.739269539	0.445612334	0.657411757	0.728966778	0.047200703	0.962488714	0.980535377	-0.378569559	0.706870262	0.832354845
PWY-2723: trehalose degradation V	-0.590685264	0.555610137	0.649207543	2.474937908	0.01491098	0.063960255	2.814327956	0.006220356	0.027415035	0.204698113	0.838292063	0.914607851	2.291049331	0.024875141	0.117740913	1.718443633	0.095378302	0.215925877	-0.785731336	0.43430936	0.546659658	1.162125141	0.254287998	0.565250674	2.306869634	0.025943355	0.173053545
PWY-2941: L-lysine biosynthesis II	-0.180943553	0.856612686	0.892190849	1.109538389	0.268796587	0.398307669	1.210167071	0.229965265	0.323140847	1.237706889	0.21915461	0.409513075	2.233533663	0.028342687	0.117740913	0.491973211	0.626096473	0.701662973	-0.933822851	0.353682905	0.482429402	-0.182166269	0.856051333	0.912308515	1.180678743	0.244220216	0.433008504
PWY-2942: L-lysine biosynthesis III	0.621648938	0.535003747	0.631924715	-0.318064771	0.750952891	0.827062981	-0.372905008	0.710257161	0.764171071	0.265253522	0.791610839	0.89295894	0.223307278	0.824141209	0.888684437	0.077096669	0.939026682	0.956618737	1.379629452	0.171665148	0.307488122	0.246939578	0.805664154	0.907363199	-0.477700902	0.635282565	0.796546601
PWY-3001: superpathway of L-isoleucine biosynthesis I	6.167946874	4.64E-09	8.90E-08	3.109881586	0.002188433	0.020754989	-3.873292987	0.000225804	0.006916103	4.274184915	4.23E-05	0.000492914	1.245429547	0.216473298	0.356415632	-2.607224635	0.013750217	0.125575516	4.84776134	1.07E-05	0.000231523	3.223778778	0.002016363	0.046952459	-2.848823326	0.006707308	0.16183101
PWY-3781: aerobic respiration I (cytochrome c)	0.618544064	0.537531778	0.632618627	0.198398502	0.843052779	0.910050351	-1.297390614	0.19842126	0.290068747	0.823064866	0.413098962	0.653739134	0.911389175	0.364816049	0.517087096	0.066169638	0.947654454	0.956618737	-1.079246329	0.284124089	0.421695286	-1.96227846	0.053959435	0.22266805	-1.594171106	0.118222659	0.262264761
PWY-3841: folate transformations II	0.334941718	0.738046217	0.807392841	-0.464547341	0.6429599	0.743279884	-0.624933072	0.533886827	0.600162434	0.922840889	0.358953492	0.603189889	-0.973940551	0.334101816	0.475620926	-1.556565018	0.129409843	0.249630821	-0.321254869	0.74912028	0.808653018	-0.090911792	0.927822504	0.957183975	0.360307563	0.720381023	0.841735532
PWY-4041: &gamma;-glutamyl cycle	-1.705062021	0.091008942	0.169536658	1.219669341	0.224249191	0.348120173	2.531854258	0.013410278	0.041242931	-0.661687287	0.510527323	0.742999586	2.540673693	0.013238963	0.086979136	2.314752788	0.02719747	0.141559129	-1.717754681	0.091002942	0.197779727	-0.215272666	0.830168561	0.907363199	1.702562729	0.095869552	0.248043445
PWY-4242: pantothenate and coenzyme A biosynthesis III	2.540597616	0.01187257	0.033080835	1.5482973	0.123545443	0.234867559	-1.016157784	0.312778326	0.40950094	1.488130069	0.140141719	0.296663638	0.315545379	0.753389348	0.846913543	-0.615194163	0.542777114	0.648151426	2.295623919	0.02576459	0.087492254	1.925464656	0.05870649	0.236275501	-0.801455188	0.427274936	0.619073907
PWY-4702: phytate degradation I	-0.268009484	0.788985646	0.846083292	1.407885844	0.160949508	0.276587486	1.451187507	0.150842969	0.238712659	-0.553184431	0.582037387	0.786197685	1.23382508	0.220725053	0.361219283	1.473140547	0.150482349	0.272540255	0.338321071	0.736920761	0.798126805	1.01727849	0.314608137	0.594205432	0.650457216	0.518857483	0.707730291
PWY-4981: L-proline biosynthesis II (from arginine)	1.754047663	0.081315963	0.15779169	1.669675434	0.09681332	0.194821866	-0.215550156	0.829915841	0.856179001	2.710120135	0.007974979	0.03064606	2.180588723	0.031651046	0.121391553	-0.253632204	0.801402255	0.842764952	0.124086147	0.901792941	0.936256366	0.213785875	0.83157411	0.907363199	-0.074979336	0.940578899	0.958214753
PWY-4984: urea cycle	-4.358207793	3.03E-05	0.000193567	-3.186970631	0.001896841	0.020591831	1.877610402	0.064271237	0.121618272	-3.407014904	0.001460476	0.00806975	-2.23090348	0.030880251	0.121391553	1.98992922	0.055200588	0.166623998	-2.77693615	0.00707717	0.033928783	-2.078063612	0.041635432	0.189534355	1.040579594	0.303886414	0.494810267
PWY-5005: biotin biosynthesis II	-0.035986441	0.971331163	0.971331163	0.604282081	0.546488946	0.664758942	1.623157569	0.108696749	0.181718668	-0.475508385	0.635784997	0.814752101	-0.070102886	0.944366	0.973569331	0.822447565	0.416908847	0.528841572	-0.176637862	0.86045763	0.901958801	0.379595081	0.705687983	0.840774098	1.553077639	0.127734558	0.273957013
PWY-5022: 4-aminobutanoate degradation V	-1.507880079	0.133649553	0.232871644	0.366878124	0.714156765	0.794590804	1.746918827	0.084691248	0.150050798	-0.642919036	0.521992285	0.746626643	0.677985484	0.499686806	0.636319917	1.038674155	0.306741318	0.419880346	-1.106005977	0.271997316	0.408622696	0.181963702	0.856338668	0.912308515	1.410668633	0.16553617	0.329053606
PWY-5030: L-histidine degradation III	0.238876053	0.811479364	0.862332232	-1.041364706	0.300048661	0.427080185	-1.132814976	0.260853163	0.35881068	-0.538137229	0.59255629	0.788462655	-1.584627117	0.121539329	0.24013225	-1.21547438	0.233076864	0.346817351	0.935198237	0.353129884	0.482429402	0.492843858	0.623623181	0.778931636	-0.184267218	0.854670107	0.915288753
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	-1.152578301	0.250995897	0.384153345	1.906029656	0.058904772	0.138150761	2.965294452	0.004038621	0.021304071	-0.475493089	0.635767835	0.814752101	2.292208953	0.024822974	0.117740913	2.37162273	0.023894446	0.136659461	-1.301515257	0.197199294	0.331376133	0.4191275	0.677179629	0.823733429	1.801083636	0.078705237	0.233045794
PWY-5097: L-lysine biosynthesis VI	2.949640754	0.003605602	0.011637883	1.018542064	0.310151572	0.432091506	-1.08815682	0.279964648	0.372524389	2.168164581	0.03342643	0.100734242	1.233370605	0.221606922	0.361219283	-0.839706146	0.407303151	0.520709127	2.471695341	0.015725433	0.060311661	0.875915089	0.3840004	0.632243083	-0.742424128	0.461866967	0.646217301
PWY-5100: pyruvate fermentation to acetate and lactate II	4.654026784	6.16E-06	4.67E-05	2.242928204	0.026260655	0.092592387	-2.420475293	0.017888072	0.049567551	3.341943149	0.001251441	0.00741763	0.410716831	0.682774054	0.787238191	-2.243546287	0.03191218	0.141559129	3.668959384	0.000513702	0.004925496	2.816629517	0.006606287	0.074365845	-1.350132217	0.184037756	0.355007742
PWY-5101: L-isoleucine biosynthesis II	-2.27582995	0.024216607	0.057207346	-1.837474808	0.068388899	0.152976149	0.471178679	0.638862869	0.701243419	-1.760314528	0.083993851	0.201338201	-1.038036697	0.304063583	0.443202853	0.529160142	0.600346212	0.683043272	-1.823860353	0.071829027	0.176046533	-1.812130532	0.074244617	0.275042559	0.212895454	0.832414618	0.904557218
PWY-5103: L-isoleucine biosynthesis III	6.777265447	1.51E-10	5.49E-09	2.205932874	0.028973611	0.092592387	-4.435338738	3.06E-05	0.004535477	5.584036525	2.04E-07	1.72E-05	0.89985021	0.3722512	0.518757955	-3.251516631	0.002704519	0.125575516	4.717552062	1.39E-05	0.000267994	2.383035978	0.019879914	0.140888086	-3.112361747	0.003294364	0.16183101
PWY-5104: L-isoleucine biosynthesis IV	1.73448011	0.084541067	0.162119928	0.824134761	0.41117808	0.546092059	-1.260460496	0.211359514	0.304881423	0.508193775	0.612982249	0.80005331	-0.486266769	0.628700945	0.753516573	-1.499021191	0.143669733	0.267636187	1.96552974	0.053479263	0.142903603	1.621308399	0.109572823	0.368255056	-0.374599442	0.709799531	0.832354845
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.136385211	0.891669197	0.912202029	-0.225185932	0.822129243	0.895418074	-0.450078651	0.653934941	0.712985923	-0.303260954	0.762508381	0.864485774	-1.194897311	0.237279288	0.373686221	-0.735427387	0.467435596	0.577212137	0.641311307	0.523351578	0.618161647	0.951429562	0.345042514	0.630094448	0.133928775	0.894083774	0.935373562
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	1.363846852	0.174280876	0.2869473	2.960518677	0.003516872	0.027297626	2.02498851	0.046380889	0.096306814	1.481828332	0.14180245	0.298242572	3.543295545	0.000613791	0.040072879	2.036699195	0.050024803	0.159883193	-0.103166317	0.91814503	0.950207237	0.796901422	0.428297628	0.674517037	0.92893199	0.358109888	0.549169956
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	-3.297512299	0.00118918	0.004560854	-1.233163546	0.219726522	0.344123523	1.733660812	0.087033441	0.152560611	-3.051688858	0.003210026	0.015618934	-1.285732002	0.203475274	0.34016892	1.731132616	0.093061046	0.212986347	-2.640134153	0.009932071	0.042050067	-1.182576377	0.241397038	0.542908156	0.951887726	0.346474131	0.540433334
PWY-5173: superpathway of acetyl-CoA biosynthesis	-1.831488845	0.069845361	0.141125303	-0.059746089	0.952430229	0.969427457	1.733602917	0.087043784	0.152560611	-1.085209731	0.283222159	0.501473496	2.353040776	0.020989265	0.110218306	1.932782652	0.062154153	0.173181656	-1.54357782	0.127295753	0.244108326	-0.769559322	0.444527573	0.686326206	0.873158919	0.387426606	0.587446854
PWY-5177: glutaryl-CoA degradation	7.554637495	1.86E-12	1.84E-10	3.99968382	9.80E-05	0.002348829	-3.075683017	0.002918226	0.019415138	5.041035864	2.13E-06	9.96E-05	2.091226899	0.04032437	0.130730635	-2.189719403	0.035949976	0.141559129	6.00115082	1.97E-07	2.14E-05	3.9185766	0.000208049	0.029752612	-2.223777376	0.03146722	0.173657568
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.94193335	0.347543215	0.474054762	-1.038402271	0.301314241	0.427080185	-2.388427028	0.019403456	0.051848578	2.02563769	0.0456024	0.125986291	1.298262041	0.198907269	0.334246236	-0.686878905	0.497106965	0.604689816	-0.153337291	0.878515029	0.917935575	-1.947095892	0.056463519	0.230088842	-2.36751055	0.022477421	0.173053545
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	-0.320359141	0.749212417	0.811439362	1.347057664	0.179998011	0.299197093	0.724149818	0.471197081	0.556342776	0.320676734	0.749692958	0.864485774	2.573663339	0.011912591	0.08597276	0.937475338	0.35553622	0.465481155	-1.133140186	0.261082865	0.399591615	-0.669767821	0.505277837	0.706476913	0.273333785	0.78590523	0.886522854
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	3.63992666	0.000352339	0.001573459	2.027860391	0.044480964	0.116185521	-1.122057637	0.265370468	0.36196976	3.932303842	0.000152474	0.001420185	2.128643966	0.035998272	0.124845071	-1.743687761	0.090814989	0.211469189	2.044780617	0.044737913	0.12779529	1.279958781	0.204814325	0.518396698	-0.420470491	0.676235712	0.821762901
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.393336899	0.694517353	0.772739444	2.201889134	0.029012623	0.092592387	1.679681926	0.097125871	0.165775047	-0.316705117	0.752417337	0.864485774	1.884648564	0.062721522	0.153571886	1.796689045	0.081830509	0.197605525	0.2262458	0.821675212	0.866880644	0.940742207	0.349985004	0.630094448	0.489252796	0.627149229	0.793690332
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	6.646878781	3.14E-10	9.24E-09	5.206161124	5.54E-07	4.51E-05	-1.433896849	0.155703358	0.244077249	5.054714342	2.36E-06	9.96E-05	3.326392677	0.001452621	0.049796359	-1.2128938	0.234048519	0.346817351	4.056819853	0.000179954	0.00196983	3.571140837	0.000774957	0.037348665	-0.847881278	0.401199147	0.594830171
PWY-5367: petroselinate biosynthesis	5.090358094	9.20E-07	9.09E-06	2.991416354	0.003185565	0.025329125	-1.313027118	0.193124623	0.285103611	3.612720631	0.0004887	0.003540358	2.216185725	0.03025944	0.121391553	-0.524330453	0.603662114	0.683311977	2.539677093	0.015110053	0.058641397	1.340184193	0.186291436	0.501909157	-1.244519943	0.220049017	0.406233603
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	-1.880709939	0.062343349	0.129451794	-2.722926196	0.007640492	0.042216953	-1.17759761	0.24263159	0.335160586	-1.095333202	0.277174927	0.493765171	-2.539742651	0.015240099	0.092005044	-1.943840761	0.060752177	0.172833439	-1.812134871	0.074438411	0.177130818	-1.66547536	0.101270462	0.35121458	0.006405525	0.994918791	0.99798008
